Nombre d'établissements au 31 décembre 2018 par secteur d'activité,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Mandelieu-la-Napoule,France,Mandelieu-la-Napoule,France,,
Industrie manufacturière. industries extractives et autres,180,393285,5.3,6.9,,
Construction,422,685872,12.3,12.1,,
Commerce de gros et de détail. transports. hébergement et restauration,998,1673387,29.2,29.5,,
Information et communication,72,210974,2.1,3.7,,
Activités financières et d'assurance,133,231445,3.9,4.1,,
Activités immobilières,268,262687,7.8,4.6,,
Activités spécialisées. scientifiques et techniques et activités de services administratifs et de soutien,654,1031096,19.1,18.2,,
Administration publique. enseignement. santé humaine et action sociale,385,745198,11.2,13.1,,
Autres activités de services,311,436388,9.1,7.7,,
Total,3423,5670332,100,100,,
,,,,,,
"Source : Insee, Répertoire des entreprises et des établissements (REE) - 2019",,,,,,
,,,,,,
,,,,,,
Établissements actifs par secteur d'activité et tranche d'effectif salarié au 31 décembre,,,,,,
,,,,,,
Catégories,Ensemble,0 salarié,1 à 9 salariés,10 à 19 salariés,20 à 49 salariés,50 salariés ou plus
Ensemble,3416,2520,760,80,39,17
Agriculture. sylviculture et pêche,17,14,2,1,0,0
Industrie,161,107,41,9,3,1
Construction,433,335,86,11,1,0
Commerce. transport. services divers,2436,1763,582,51,29,11
- dont commerce et réparation automobile,614,371,203,19,14,7
Administration publique. enseignement. santé. action sociale,369,301,49,8,6,5
,,,,,,
"Source : Insee, Connaissance locale de l'appareil productif (Clap) - 2015",,,,,,
,,,,,,
,,,,,,
Population de 2017,,,,,,
,,,,,,
Période,Population,,Densité de population (hab/km²),,,
,Cannes,France,Cannes,France,,
2017,22452,66524339,715.7,105.1,,
,,,,,,
,,,,,,
Population par grandes tranches d'âge,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Mandelieu-la-Napoule,France,Mandelieu-la-Napoule,France,,
0 à 14 ans,3069,12064716,13.7,18.1,,
15 à 29 ans,3132,11707066,13.9,17.6,,
30 à 44 ans,3975,12508232,17.7,18.8,,
45 à 59 ans,4411,13251561,19.6,19.9,,
60 à 74 ans,4309,10797875,19.2,16.2,,
75 ans ou plus,3556,6194889,15.8,9.3,,
Total,22452,66524339,100,100,,
,,,,,,
,,,,,,
Population de 15 ans ou plus par CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,%,,,,
Agriculteurs exploitants,23,0.1,,,,
Artisans. commerçants. chefs entreprise,1042,5.4,,,,
Cadres et professions intellectuelles supérieures,1521,7.9,,,,
Professions intermédiaires,2763,14.3,,,,
Employés,3475,17.9,,,,
Ouvriers,1463,7.6,,,,
Retraités,6872,35.5,,,,
Autres personnes sans activité professionnelle,2211,11.4,,,,
Total,19370,100,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire - 2017",,,,,,
,,,,,,
,,,,,,
