Nombre d'établissements au 31 décembre 2018 par secteur d'activité,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Cannes,France,Cannes,France,,
Industrie manufacturière. industries extractives et autres,477,393285,3.3,6.9,,
Construction,1344,685872,9.2,12.1,,
Commerce de gros et de détail. transports. hébergement et restauration,4815,1673387,33.1,29.5,,
Information et communication,351,210974,2.4,3.7,,
Activités financières et d'assurance,618,231445,4.3,4.1,,
Activités immobilières,1705,262687,11.7,4.6,,
Activités spécialisées. scientifiques et techniques et activités de services administratifs et de soutien,2588,1031096,17.8,18.2,,
Administration publique. enseignement. santé humaine et action sociale,1482,745198,10.2,13.1,,
Autres activités de services,1158,436388,8,7.7,,
Total,14538,5670332,100,100,,
,,,,,,
"Source : Insee, Répertoire des entreprises et des établissements (REE) - 2019",,,,,,
,,,,,,
,,,,,,
Établissements actifs par secteur d'activité et tranche d'effectif salarié au 31 décembre,,,,,,
,,,,,,
Catégories,Ensemble,0 salarié,1 à 9 salariés,10 à 19 salariés,20 à 49 salariés,50 salariés ou plus
Ensemble,14169,10141,3494,286,163,85
Agriculture. sylviculture et pêche,21,14,6,0,1,0
Industrie,397,273,103,13,7,1
Construction,1256,1031,206,17,2,0
Commerce. transport. services divers,11082,7782,2939,211,105,45
- dont commerce et réparation automobile,2582,1517,981,46,29,9
Administration publique. enseignement. santé. action sociale,1413,1041,240,45,48,39
,,,,,,
"Source : Insee, Connaissance locale de l'appareil productif (Clap) - 2015",,,,,,
,,,,,,
,,,,,,
Population de 2017,,,,,,
,,,,,,
Période,Population,,Densité de population (hab/km²),,,
,Cannes,France,Cannes,France,,
2017,73868,66524339,3764.9,105.1,,
,,,,,,
"Source : Insee, séries historiques du RP, exploitations principales",,,,,,
,,,,,,
,,,,,,
Population par grandes tranches d'âge,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Cannes,France,Cannes,France,,
0 à 14 ans,10358,12064716,14,18.1,,
15 à 29 ans,10593,11707066,14.3,17.6,,
30 à 44 ans,12074,12508232,16.3,18.8,,
45 à 59 ans,14254,13251561,19.3,19.9,,
60 à 74 ans,13771,10797875,18.6,16.2,,
75 ans ou plus,12818,6194889,17.4,9.3,,
Total,73868,66524339,100,100,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Population de 15 ans ou plus par CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,%,,,,
Agriculteurs exploitants,38,0.1,,,,
Artisans. commerçants. chefs entreprise,3052,4.8,,,,
Cadres et professions intellectuelles supérieures,3874,6.1,,,,
Professions intermédiaires,6459,10.2,,,,
Employés,11387,17.9,,,,
Ouvriers,5493,8.7,,,,
Retraités,22065,34.7,,,,
Autres personnes sans activité professionnelle,11130,17.5,,,,
Total,63498,100,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire - 2017",,,,,,
,,,,,,
,,,,,,
Population de 15 ans ou plus par sexe et CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégories,Hommes,Femmes,,,,
Ensemble,28254,35245,,,,
Agriculteurs exploitants,25,14,,,,
Artisans. commerçants. chefs entreprise,2003,1049,,,,
Cadres et professions intellectuelles supérieures,2280,1594,,,,
Professions intermédiaires,2869,3590,,,,
Employés,3503,7883,,,,
Ouvriers,4412,1081,,,,
Retraités,9023,13043,,,,
Autres personnes sans activité professionnelle,4139,6991,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire - 2017",,,,,,
,,,,,,
,,,,,,
Population des 15-24 ans par CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,%,,,,
Agriculteurs exploitants,0,0,,,,
Artisans. commerçants. chefs entreprise,40,0.6,,,,
Cadres et professions intellectuelles supérieures,72,1,,,,
Professions intermédiaires,477,6.7,,,,
Employés,1324,18.5,,,,
Ouvriers,717,10,,,,
Retraités,0,0,,,,
Autres personnes sans activité professionnelle,4519,63.2,,,,
Total,7149,100,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire - 2017",,,,,,
,,,,,,
,,,,,,
Population des 25-54 ans par CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,%,,,,
Agriculteurs exploitants,20,0.1,,,,
Artisans. commerçants. chefs entreprise,2089,8.3,,,,
Cadres et professions intellectuelles supérieures,2883,11.4,,,,
Professions intermédiaires,4798,19,,,,
Employés,7861,31.2,,,,
Ouvriers,3841,15.2,,,,
Retraités,78,0.3,,,,
Autres personnes sans activité professionnelle,3619,14.4,,,,
Total,25189,100,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire - 2017",,,,,,
,,,,,,
,,,,,,
Population des 55 ans ou plus par CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,%,,,,
Agriculteurs exploitants,18,0.1,,,,
Artisans. commerçants. chefs entreprise,923,3,,,,
Cadres et professions intellectuelles supérieures,919,2.9,,,,
Professions intermédiaires,1184,3.8,,,,
Employés,2202,7.1,,,,
Ouvriers,935,3,,,,
Retraités,21987,70.6,,,,
Autres personnes sans activité professionnelle,2993,9.6,,,,
Total,31161,100,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire - 2017",,,,,,
,,,,,,
,,,,,,
Activité et emploi de la population de 15 à 64 ans par âge,,,,,,
,,,,,,
Catégories,Population,Actifs,Taux d'activité (%),Actifs en emploi,Taux d'emploi (%),
Ensemble,41482,30113,72.6,24609,59.3,
15 à 24 ans,7139,2890,40.5,1898,26.6,
25 à 54 ans,25178,21724,86.3,18069,71.8,
55 à 64 ans,9165,5498,60,4643,50.7,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Statut et condition d'emploi des FEMMES de 15 ans ou plus,,,,,,
,,,,,,
Indicateurs,Cannes,France,,,,
Salariées,10694,11694309,,,,
- Titulaires de la fonction publique et CDI,9049,9808156,,,,
- Contrat à durée déterminée,1298,1331322,,,,
- Intérim,80,146036,,,,
- Emplois aidés,71,151061,,,,
- Apprentissage - Stage,196,257733,,,,
Non salariées,1820,1282989,,,,
- Indépendants,1200,860182,,,,
- Employeurs,598,391365,,,,
- Aides familiaux,22,31442,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Statut et condition d'emploi des HOMMES de 15 ans ou plus,,,,,,
,,,,,,
Indicateurs,Cannes,France,,,,
Salariés,10092,11636014,,,,
- Titulaires de la fonction publique et CDI,8633,9885223,,,,
- Contrat à durée déterminée,987,946141,,,,
- Intérim,234,347047,,,,
- Emplois aidés,30,86092,,,,
- Apprentissage - Stage,209,371511,,,,
Non salariés,2680,2231297,,,,
- Indépendants,1542,1189241,,,,
- Employeurs,1131,1025072,,,,
- Aides familiaux,8,16984,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Chômage (au sens du recensement) des 15-64 ans,,,,,,
,,,,,,
Indicateurs,Cannes,France,,,,
Nombre de chômeurs,5503,4265005,,,,
Taux de chômage (%),18.3,13.9,,,,
Taux de chômage des femmes (%),19.6,14.6,,,,
Taux de chômage des hommes (%),17,13.2,,,,
Part de femmes parmi les chômeurs (%),53.8,51.2,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Taux de chômage (au sens du recensement) par sexe et âge,,,,,,
,,,,,,
Catégories,Taux de chômage des femmes (%),,Taux de chômage des hommes (%),,,
,Cannes,France,Cannes,France,,
Ensemble,19.6,14.6,17,13.2,,
15 à 24 ans,32.7,28.9,35.7,28.2,,
25 à 54 ans,18.6,13.4,15,11.4,,
55 à 64 ans,17.4,11.3,13.7,11.1,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Emplois par catégorie socioprofessionnelle,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Cannes,France,Cannes,France,,
Agriculteurs exploitants,34,423263,0.1,1.6,,
Artisans. commerçants et chefs d'entreprise,4045,1779591,10.7,6.7,,
Cadres et professions intellectuelles supérieures,6548,4777193,17.4,18.1,,
Professions intermédiaires,9141,6860682,24.2,26,,
Employés,12883,7323266,34.1,27.7,,
Ouvriers,5077,5253298,13.5,19.9,,
Total,37728,26417293,100,100,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire, lieu de travail - 2017",,,,,,
,,,,,,
,,,,,,
Logements par catégorie,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Cannes,France,Cannes,France,,
Résidences principales,37735,29479746,53,82.2,,
Résid. secondaires et log. occasionnels,31433,3464523,44.1,9.7,,
Logements vacants,2096,2935447,2.9,8.2,,
Total,71264,35879716,100,100,,
,,,,,,
"Source : Insee, séries historiques du RP, exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Logements selon leurs types,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Cannes,France,Cannes,France,,
Maisons,5078,19988574,7.1,55.7,,
Appartements,65875,15520592,92.4,43.3,,
Autres logements,311,370550,0.4,1,,
Total,71264,35879716,100,100,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
