Nombre d'établissements au 31 décembre 2018 par secteur d'activité,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Le Cannet,France,Le Cannet,France,,
Industrie manufacturière. industries extractives et autres,211,393285,4.2,6.9,,
Construction,816,685872,16.3,12.1,,
Commerce de gros et de détail. transports. hébergement et restauration,1160,1673387,23.2,29.5,,
Information et communication,136,210974,2.7,3.7,,
Activités financières et d'assurance,172,231445,3.4,4.1,,
Activités immobilières,368,262687,7.4,4.6,,
Activités spécialisées. scientifiques et techniques et activités de services administratifs et de soutien,1033,1031096,20.7,18.2,,
Administration publique. enseignement. santé humaine et action sociale,679,745198,13.6,13.1,,
Autres activités de services,426,436388,8.5,7.7,,
Total,5001,5670332,100,100,,
,,,,,,
"Source : Insee, Répertoire des entreprises et des établissements (REE) - 2019",,,,,,
,,,,,,
,,,,,,
Établissements actifs par secteur d'activité et tranche d'effectif salarié au 31 décembre,,,,,,
,,,,,,
Catégories,Ensemble,0 salarié,1 à 9 salariés,10 à 19 salariés,20 à 49 salariés,50 salariés ou plus
Ensemble,5088,3977,985,64,41,21
Agriculture. sylviculture et pêche,10,9,1,0,0,0
Industrie,193,135,46,4,4,4
Construction,767,591,167,7,2,0
Commerce. transport. services divers,3417,2649,700,40,21,7
- dont commerce et réparation automobile,718,499,195,12,9,3
Administration publique. enseignement. santé. action sociale,701,593,71,13,14,10
,,,,,,
"Source : Insee, Connaissance locale de l'appareil productif (Clap) - 2015",,,,,,
,,,,,,
,,,,,,
Population de 1968 à 2017,,,,,,
,,,,,,
Période,Population,,Densité de population (hab/km²),,,
,Le Cannet,France,Le Cannet,France,,
2017,41471,66524339,5378.9,105.1,,
,,,,,,
"Source : Insee, séries historiques du RP, exploitations principales",,,,,,
,,,,,,
,,,,,,
Population par grandes tranches d'âge,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Le Cannet,France,Le Cannet,France,,
0 à 14 ans,5555,12064716,13.4,18.1,,
15 à 29 ans,5833,11707066,14.1,17.6,,
30 à 44 ans,7505,12508232,18.1,18.8,,
45 à 59 ans,8077,13251561,19.5,19.9,,
60 à 74 ans,7983,10797875,19.2,16.2,,
75 ans ou plus,6519,6194889,15.7,9.3,,
Total,41472,66524339,100,100,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Population de 15 ans ou plus par CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,%,,,,
Agriculteurs exploitants,16,0,,,,
Artisans. commerçants. chefs entreprise,1783,5,,,,
Cadres et professions intellectuelles supérieures,2394,6.7,,,,
Professions intermédiaires,4516,12.6,,,,
Employés,6337,17.6,,,,
Ouvriers,3276,9.1,,,,
Retraités,12312,34.3,,,,
Autres personnes sans activité professionnelle,5270,14.7,,,,
Total,35904,100,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire - 2017",,,,,,
,,,,,,
,,,,,,
Population de 15 ans ou plus par sexe et CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégories,Hommes,Femmes,,,,
Ensemble,16483,19421,,,,
Agriculteurs exploitants,16,0,,,,
Artisans. commerçants. chefs entreprise,1293,489,,,,
Cadres et professions intellectuelles supérieures,1327,1067,,,,
Professions intermédiaires,2049,2468,,,,
Employés,1792,4545,,,,
Ouvriers,2682,594,,,,
Retraités,5301,7011,,,,
Autres personnes sans activité professionnelle,2023,3247,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire - 2017",,,,,,
,,,,,,
,,,,,,
Population des 15-24 ans par CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,%,,,,
Agriculteurs exploitants,0,0,,,,
Artisans. commerçants. chefs entreprise,26,0.7,,,,
Cadres et professions intellectuelles supérieures,24,0.7,,,,
Professions intermédiaires,328,9,,,,
Employés,761,20.8,,,,
Ouvriers,395,10.8,,,,
Retraités,0,0,,,,
Autres personnes sans activité professionnelle,2128,58.1,,,,
Total,3662,100,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire - 2017",,,,,,
,,,,,,
,,,,,,
Population des 25-54 ans par CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,%,,,,
Agriculteurs exploitants,10,0.1,,,,
Artisans. commerçants. chefs entreprise,1225,8.1,,,,
Cadres et professions intellectuelles supérieures,1836,12.2,,,,
Professions intermédiaires,3332,22.1,,,,
Employés,4388,29.1,,,,
Ouvriers,2367,15.7,,,,
Retraités,82,0.5,,,,
Autres personnes sans activité professionnelle,1845,12.2,,,,
Total,15085,100,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire - 2017",,,,,,
,,,,,,
,,,,,,
Population des 55 ans ou plus par CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,%,,,,
Agriculteurs exploitants,5,0,,,,
Artisans. commerçants. chefs entreprise,532,3.1,,,,
Cadres et professions intellectuelles supérieures,533,3.1,,,,
Professions intermédiaires,857,5,,,,
Employés,1187,6.9,,,,
Ouvriers,514,3,,,,
Retraités,12230,71.3,,,,
Autres personnes sans activité professionnelle,1297,7.6,,,,
Total,17155,100,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire - 2017",,,,,,
,,,,,,
,,,,,,
Activité et emploi de la population de 15 à 64 ans par âge,,,,,,
,,,,,,
Catégories,Population,Actifs,Taux d'activité (%),Actifs en emploi,Taux d'emploi (%),
Ensemble,24102,18019,74.8,15358,63.7,
15 à 24 ans,3667,1645,44.9,1172,32,
25 à 54 ans,15092,13245,87.8,11416,75.6,
55 à 64 ans,5343,3128,58.6,2770,51.8,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Statut et condition d'emploi des FEMMES de 15 ans ou plus,,,,,,
,,,,,,
Indicateurs,Le Cannet,France,,,,
Salariées,6803,11694309,,,,
- Titulaires de la fonction publique et CDI,5995,9808156,,,,
- Contrat à durée déterminée,571,1331322,,,,
- Intérim,42,146036,,,,
- Emplois aidés,79,151061,,,,
- Apprentissage - Stage,117,257733,,,,
Non salariées,1031,1282989,,,,
- Indépendants,687,860182,,,,
- Employeurs,330,391365,,,,
- Aides familiaux,14,31442,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Statut et condition d'emploi des HOMMES de 15 ans ou plus,,,,,,
,,,,,,
Indicateurs,Le Cannet,France,,,,
Salariés,6311,11636014,,,,
- Titulaires de la fonction publique et CDI,5485,9885223,,,,
- Contrat à durée déterminée,535,946141,,,,
- Intérim,175,347047,,,,
- Emplois aidés,12,86092,,,,
- Apprentissage - Stage,105,371511,,,,
Non salariés,1695,2231297,,,,
- Indépendants,987,1189241,,,,
- Employeurs,702,1025072,,,,
- Aides familiaux,6,16984,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Chômage (au sens du recensement) des 15-64 ans,,,,,,
,,,,,,
Indicateurs,Le Cannet,France,,,,
Nombre de chômeurs,2661,4265005,,,,
Taux de chômage (%),14.8,13.9,,,,
Taux de chômage des femmes (%),15.7,14.6,,,,
Taux de chômage des hommes (%),13.8,13.2,,,,
Part de femmes parmi les chômeurs (%),53.3,51.2,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Taux de chômage (au sens du recensement) par sexe et âge,,,,,,
,,,,,,
Catégories,Taux de chômage des femmes (%),,Taux de chômage des hommes (%),,,
,Le Cannet,France,Le Cannet,France,,
Ensemble,15.7,14.6,13.8,13.2,,
15 à 24 ans,26,28.9,31.4,28.2,,
25 à 54 ans,15.3,13.4,12.3,11.4,,
55 à 64 ans,12.2,11.3,10.7,11.1,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Emplois par catégorie socioprofessionnelle,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Le Cannet,France,Le Cannet,France,,
Agriculteurs exploitants,15,423263,0.2,1.6,,
Artisans. commerçants et chefs d'entreprise,1207,1779591,13.3,6.7,,
Cadres et professions intellectuelles supérieures,1109,4777193,12.2,18.1,,
Professions intermédiaires,2287,6860682,25.3,26,,
Employés,3015,7323266,33.3,27.7,,
Ouvriers,1423,5253298,15.7,19.9,,
Total,9056,26417293,100,100,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire, lieu de travail - 2017",,,,,,
,,,,,,
,,,,,,
Logements par catégorie,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Le Cannet,France,Le Cannet,France,,
Résidences principales,21276,29479746,80.8,82.2,,
Résid. secondaires et log. occasionnels,4104,3464523,15.6,9.7,,
Logements vacants,940,2935447,3.6,8.2,,
Total,26320,35879716,100,100,,
,,,,,,
"Source : Insee, séries historiques du RP, exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Logements selon leurs types,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Le Cannet,France,Le Cannet,France,,
Maisons,4009,19988574,15.2,55.7,,
Appartements,22239,15520592,84.5,43.3,,
Autres logements,72,370550,0.3,1,,
Total,26320,35879716,100,100,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
