Nombre d'établissements au 31 décembre 2018 par secteur d'activité,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Mougins,France,Mougins,France,,
Industrie manufacturière. industries extractives et autres,210,393285,5.2,6.9,,
Construction,565,685872,14.1,12.1,,
Commerce de gros et de détail. transports. hébergement et restauration,978,1673387,24.3,29.5,,
Information et communication,147,210974,3.7,3.7,,
Activités financières et d'assurance,184,231445,4.6,4.1,,
Activités immobilières,362,262687,9,4.6,,
Activités spécialisées. scientifiques et techniques et activités de services administratifs et de soutien,807,1031096,20.1,18.2,,
Administration publique. enseignement. santé humaine et action sociale,488,745198,12.1,13.1,,
Autres activités de services,280,436388,7,7.7,,
Total,4021,5670332,100,100,,
,,,,,,
"Source : Insee, Répertoire des entreprises et des établissements (REE) - 2019",,,,,,
,,,,,,
,,,,,,
Établissements actifs par secteur d'activité et tranche d'effectif salarié au 31 décembre,,,,,,
,,,,,,
Catégories,Ensemble,0 salarié,1 à 9 salariés,10 à 19 salariés,20 à 49 salariés,50 salariés ou plus
Ensemble,3707,2675,831,102,61,38
Agriculture. sylviculture et pêche,22,20,2,0,0,0
Industrie,185,114,51,13,3,4
Construction,511,343,142,15,10,1
Commerce. transport. services divers,2574,1886,573,63,36,16
- dont commerce et réparation automobile,563,373,155,21,12,2
Administration publique. enseignement. santé. action sociale,415,312,63,11,12,17
,,,,,,
"Source : Insee, Connaissance locale de l'appareil productif (Clap) - 2015",,,,,,
,,,,,,
,,,,,,
Population de 1968 à 2017,,,,,,
,,,,,,
Période,Population,,Densité de population (hab/km²),,,
,Mougins,France,Mougins,France,,
2017,19473,66524339,759.5,105.1,,
,,,,,,
"Source : Insee, séries historiques du RP, exploitations principales",,,,,,
,,,,,,
,,,,,,
Population par grandes tranches d'âge,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Mougins,France,Mougins,France,,
0 à 14 ans,3257,12064716,16.7,18.1,,
15 à 29 ans,2825,11707066,14.5,17.6,,
30 à 44 ans,3803,12508232,19.5,18.8,,
45 à 59 ans,4273,13251561,21.9,19.9,,
60 à 74 ans,3285,10797875,16.9,16.2,,
75 ans ou plus,2030,6194889,10.4,9.3,,
Total,19473,66524339,100,100,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Population de 15 ans ou plus par CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,%,,,,
Agriculteurs exploitants,15,0.1,,,,
Artisans. commerçants. chefs entreprise,1306,8.1,,,,
Cadres et professions intellectuelles supérieures,2465,15.2,,,,
Professions intermédiaires,2370,14.6,,,,
Employés,2451,15.1,,,,
Ouvriers,1144,7.1,,,,
Retraités,4267,26.3,,,,
Autres personnes sans activité professionnelle,2195,13.5,,,,
Total,16213,100,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire - 2017",,,,,,
,,,,,,
,,,,,,
Population de 15 ans ou plus par sexe et CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégories,Hommes,Femmes,,,,
Ensemble,7759,8454,,,,
Agriculteurs exploitants,12,3,,,,
Artisans. commerçants. chefs entreprise,904,402,,,,
Cadres et professions intellectuelles supérieures,1452,1013,,,,
Professions intermédiaires,1021,1348,,,,
Employés,640,1811,,,,
Ouvriers,958,186,,,,
Retraités,1923,2344,,,,
Autres personnes sans activité professionnelle,848,1347,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire - 2017",,,,,,
,,,,,,
,,,,,,
Population des 15-24 ans par CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,%,,,,
Agriculteurs exploitants,0,0,,,,
Artisans. commerçants. chefs entreprise,34,2,,,,
Cadres et professions intellectuelles supérieures,44,2.6,,,,
Professions intermédiaires,114,6.9,,,,
Employés,241,14.5,,,,
Ouvriers,182,10.9,,,,
Retraités,0,0,,,,
Autres personnes sans activité professionnelle,1049,63,,,,
Total,1664,100,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire - 2017",,,,,,
,,,,,,
,,,,,,
Population des 25-54 ans par CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,%,,,,
Agriculteurs exploitants,3,0,,,,
Artisans. commerçants. chefs entreprise,927,11.7,,,,
Cadres et professions intellectuelles supérieures,1917,24.1,,,,
Professions intermédiaires,1881,23.7,,,,
Employés,1740,21.9,,,,
Ouvriers,811,10.2,,,,
Retraités,20,0.3,,,,
Autres personnes sans activité professionnelle,642,8.1,,,,
Total,7941,100,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire - 2017",,,,,,
,,,,,,
,,,,,,
Population des 55 ans ou plus par CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,%,,,,
Agriculteurs exploitants,12,0.2,,,,
Artisans. commerçants. chefs entreprise,344,5.2,,,,
Cadres et professions intellectuelles supérieures,504,7.6,,,,
Professions intermédiaires,375,5.7,,,,
Employés,469,7.1,,,,
Ouvriers,151,2.3,,,,
Retraités,4248,64.3,,,,
Autres personnes sans activité professionnelle,504,7.6,,,,
Total,6607,100,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire - 2017",,,,,,
,,,,,,
,,,,,,
Activité et emploi de la population de 15 à 64 ans par âge,,,,,,
,,,,,,
Catégories,Population,Actifs,Taux d'activité (%),Actifs en emploi,Taux d'emploi (%),
Ensemble,12080,9565,79.2,8538,70.7,
15 à 24 ans,1665,661,39.7,510,30.6,
25 à 54 ans,7946,7309,92,6601,83.1,
55 à 64 ans,2470,1595,64.6,1426,57.8,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Statut et condition d'emploi des FEMMES de 15 ans ou plus,,,,,,
,,,,,,
Indicateurs,Mougins,France,,,,
Salariées,3582,11694309,,,,
- Titulaires de la fonction publique et CDI,3159,9808156,,,,
- Contrat à durée déterminée,323,1331322,,,,
- Intérim,33,146036,,,,
- Emplois aidés,24,151061,,,,
- Apprentissage - Stage,43,257733,,,,
Non salariées,706,1282989,,,,
- Indépendants,445,860182,,,,
- Employeurs,242,391365,,,,
- Aides familiaux,20,31442,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Statut et condition d'emploi des HOMMES de 15 ans ou plus,,,,,,
,,,,,,
Indicateurs,Mougins,France,,,,
Salariés,3216,11636014,,,,
- Titulaires de la fonction publique et CDI,2888,9885223,,,,
- Contrat à durée déterminée,218,946141,,,,
- Intérim,36,347047,,,,
- Emplois aidés,8,86092,,,,
- Apprentissage - Stage,67,371511,,,,
Non salariés,1288,2231297,,,,
- Indépendants,592,1189241,,,,
- Employeurs,689,1025072,,,,
- Aides familiaux,7,16984,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Chômage (au sens du recensement) des 15-64 ans,,,,,,
,,,,,,
Indicateurs,Mougins,France,,,,
Nombre de chômeurs,1028,4265005,,,,
Taux de chômage (%),10.7,13.9,,,,
Taux de chômage des femmes (%),10.7,14.6,,,,
Taux de chômage des hommes (%),10.8,13.2,,,,
Part de femmes parmi les chômeurs (%),49,51.2,,,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Taux de chômage (au sens du recensement) par sexe et âge,,,,,,
,,,,,,
Catégories,Taux de chômage des femmes (%),,Taux de chômage des hommes (%),,,
,Mougins,France,Mougins,France,,
Ensemble,10.7,14.6,10.8,13.2,,
15 à 24 ans,23.2,28.9,22.7,28.2,,
25 à 54 ans,10,13.4,9.3,11.4,,
55 à 64 ans,9.8,11.3,11.4,11.1,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Emplois par catégorie socioprofessionnelle,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Mougins,France,Mougins,France,,
Agriculteurs exploitants,15,423263,0.2,1.6,,
Artisans. commerçants et chefs d'entreprise,1044,1779591,10.6,6.7,,
Cadres et professions intellectuelles supérieures,2333,4777193,23.7,18.1,,
Professions intermédiaires,2513,6860682,25.6,26,,
Employés,2384,7323266,24.2,27.7,,
Ouvriers,1546,5253298,15.7,19.9,,
Total,9835,26417293,100,100,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation complémentaire, lieu de travail - 2017",,,,,,
,,,,,,
,,,,,,
Logements par catégorie,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Mougins,France,Mougins,France,,
Résidences principales,8403,29479746,77.2,82.2,,
Résid. secondaires et log. occasionnels,1983,3464523,18.2,9.7,,
Logements vacants,501,2935447,4.6,8.2,,
Total,10887,35879716,100,100,,
,,,,,,
"Source : Insee, séries historiques du RP, exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Logements selon leurs types,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Mougins,France,Mougins,France,,
Maisons,6297,19988574,57.8,55.7,,
Appartements,4443,15520592,40.8,43.3,,
Autres logements,148,370550,1.4,1,,
Total,10888,35879716,100,100,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
