Nombre d'établissements au 31 décembre 2018 par secteur d'activité,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Nantes Métropole,France,Nantes Métropole,France,,
Industrie manufacturière. industries extractives et autres,2958,393285,5.2,6.9,,
Construction,4733,685872,8.3,12.1,,
Commerce de gros et de détail. transports. hébergement et restauration,13981,1673387,24.6,29.5,,
Information et communication,3093,210974,5.4,3.7,,
Activités financières et d'assurance,3250,231445,5.7,4.1,,
Activités immobilières,2855,262687,5,4.6,,
Activités spécialisées. scientifiques et techniques et activités de services administratifs et de soutien,12867,1031096,22.6,18.2,,
Administration publique. enseignement. santé humaine et action sociale,9045,745198,15.9,13.1,,
Autres activités de services,4100,436388,7.2,7.7,,
Total,56882,5670332,100,100,,
,,,,,,
"Source : Insee, Répertoire des entreprises et des établissements (REE) - 2019",,,,,,
,,,,,,
,,,,,,
Établissements actifs par secteur d'activité et tranche d'effectif salarié au 31 décembre,,,,,,
,,,,,,
Catégories,Ensemble,0 salarié,1 à 9 salariés,10 à 19 salariés,20 à 49 salariés,50 salariés ou plus
Ensemble,62220,44061,13299,2219,1485,1156
Agriculture. sylviculture et pêche,345,236,98,4,5,2
Industrie,2703,1576,682,204,124,117
Construction,4616,3398,892,140,122,64
Commerce. transport. services divers,44753,31354,10461,1449,890,599
- dont commerce et réparation automobile,9363,5640,2936,415,230,142
Administration publique. enseignement. santé. action sociale,9803,7497,1166,422,344,374
,,,,,,
"Source : Insee, Connaissance locale de l'appareil productif (Clap) - 2015",,,,,,
,,,,,,
,,,,,,
Population de 1968 à 2017,,,,,,
,,,,,,
Période,Population,,Densité de population (hab/km²),,,
,Théoule-sur-Mer,France,Théoule-sur-Mer,France,,
2017,1413,66524339,134.7,105.1,,
,,,,,,
"Source : Insee, séries historiques du RP, exploitations principales",,,,,,
,,,,,,
,,,,,,
Population par grandes tranches d'âge,,,,,,
,,,,,,
Catégorie,Nombre,,%,,,
,Théoule-sur-Mer,France,Théoule-sur-Mer,France,,
0 à 14 ans,182,12064716,12.9,18.1,,
15 à 29 ans,158,11707066,11.2,17.6,,
30 à 44 ans,219,12508232,15.5,18.8,,
45 à 59 ans,318,13251561,22.5,19.9,,
60 à 74 ans,348,10797875,24.6,16.2,,
75 ans ou plus,188,6194889,13.3,9.3,,
Total,1413,66524339,100,100,,
,,,,,,
"Source : Insee, Recensement de la population (RP), exploitation principale - 2017",,,,,,
,,,,,,
,,,,,,
Population de 15 ans ou plus par CSP,,,,,,
Seuil d'utilisation à 2000 hab.,,,,,,
,,,,,,
Catégorie,Nombre,%,,,,
Agriculteurs exploitants,5,0.4,,,,
